id,name,num_parts,hex
-1,[Unknown],17,#0033B2
0,Black,844129,#05131D
1,Blue,208789,#0055BF
2,Green,92050,#237841
3,Dark Turquoise,24039,#008F9B
4,Red,323195,#C91A09
5,Dark Pink,16487,#C870A0
6,Brown,9558,#583927
7,Light Gray,92829,#9BA19D
8,Dark Gray,22453,#6D6E5C
9,Light Blue,43,#B4D2E3
10,Bright Green,28483,#4B9F4A
11,Light Turquoise,164,#55A5AF
12,Salmon,185,#F2705E
13,Pink,482,#FC97AC
14,Yellow,217538,#F2CD37
15,White,521831,#FFFFFF
17,Light Green,166,#C2DAB8
18,Light Yellow,340,#FBE696
19,Tan,197862,#E4CD9E
20,Light Violet,186,#C9CAE2
21,Glow In Dark Opaque,215,#D4D5C9
22,Purple,1005,#81007B
23,Dark Blue-Violet,9,#2032B0
25,Orange,55557,#FE8A18
26,Magenta,13937,#923978
27,Lime,46420,#BBE90B
28,Dark Tan,74628,#958A73
29,Bright Pink,19081,#E4ADC8
30,Medium Lavender,10338,#AC78BA
31,Lavender,8881,#E1D5ED
32,Trans-Black IR Lens,0,#635F52
33,Trans-Dark Blue,10723,#0020A0
34,Trans-Green,5453,#84B68D
35,Trans-Bright Green,3735,#D9E4A7
36,Trans-Red,20648,#C91A09
40,Trans-Brown,8657,#635F52
41,Trans-Light Blue,33147,#AEEFEC
42,Trans-Neon Green,6803,#F8F184
43,Trans-Very Lt Blue,232,#C1DFF0
45,Trans-Dark Pink,5778,#DF6695
46,Trans-Yellow,13418,#F5CD2F
47,Trans-Clear,47692,#FCFCFC
52,Trans-Purple,3095,#A5A5CB
54,Trans-Neon Yellow,187,#DAB000
57,Trans-Neon Orange,5612,#FF800D
60,Chrome Antique Brass,33,#645A4C
61,Chrome Blue,26,#6C96BF
62,Chrome Green,2,#3CB371
63,Chrome Pink,19,#AA4D8E
64,Chrome Black,10,#1B2A34
68,Very Light Orange,16,#F3CF9B
69,Light Purple,102,#CD6298
70,Reddish Brown,180749,#582A12
71,Light Bluish Gray,521474,#A0A5A9
72,Dark Bluish Gray,376909,#6C6E68
73,Medium Blue,13324,#5A93DB
74,Medium Green,572,#73DCA1
75,Speckle Black-Copper,10,#05131D
76,Speckle DBGray-Silver,12,#6C6E68
77,Light Pink,184,#FECCCF
78,Light Nougat,11892,#F6D7B3
79,Milky White,239,#FFFFFF
80,Metallic Silver,4197,#A5A9B4
81,Metallic Green,24,#899B5F
82,Metallic Gold,3674,#DBAC34
84,Medium Nougat,44985,#AA7D55
85,Dark Purple,17416,#3F3691
86,Light Brown,168,#7C503A
89,Royal Blue,191,#4C61DB
92,Nougat,3085,#D09168
100,Light Salmon,180,#FEBABD
110,Violet,191,#4354A3
112,Medium Bluish Violet,62,#6874CA
114,Glitter Trans-Dark Pink,234,#DF6695
115,Medium Lime,192,#C7D23C
117,Glitter Trans-Clear,230,#FFFFFF
118,Aqua,322,#B3D7D1
120,Light Lime,29,#D9E4A7
125,Light Orange,66,#F9BA61
129,Glitter Trans-Purple,169,#A5A5CB
132,Speckle Black-Silver,246,#05131D
133,Speckle Black-Gold,5,#05131D
134,Copper,192,#AE7A59
135,Pearl Light Gray,5501,#9CA3A8
137,Pearl Sand Blue,172,#7988A1
142,Pearl Light Gold,29,#DCBC81
143,Trans-Medium Blue,704,#CFE2F7
148,Pearl Dark Gray,533,#575857
150,Pearl Very Light Gray,40,#ABADAC
151,Very Light Bluish Gray,284,#E6E3E0
158,Yellowish Green,3945,#DFEEA5
178,Flat Dark Gold,141,#B48455
179,Flat Silver,23223,#898788
182,Trans-Orange,15969,#F08F1C
183,Pearl White,46,#F2F3F2
191,Bright Light Orange,30662,#F8BB3D
212,Bright Light Blue,9927,#9FC3E9
216,Rust,31,#B31004
226,Bright Light Yellow,12495,#FFF03A
230,Trans-Pink,434,#E4ADC8
232,Sky Blue,131,#7DBFDD
236,Trans-Light Purple,71,#96709F
272,Dark Blue,54438,#0A3463
288,Dark Green,27402,#184632
294,Glow In Dark Trans,131,#BDC6AD
297,Pearl Gold,54937,#AA7F2E
308,Dark Brown,25362,#352100
313,Maersk Blue,469,#3592C3
320,Dark Red,50662,#720E0F
321,Dark Azure,17684,#078BC9
322,Medium Azure,31239,#36AEBF
323,Light Aqua,10819,#ADC3C0
326,Olive Green,12095,#9B9A5A
334,Chrome Gold,2202,#BBA53D
335,Sand Red,603,#D67572
351,Medium Dark Pink,1093,#F785B1
366,Earth Orange,170,#FA9C1C
373,Sand Purple,73,"#8,45E+086"
378,Sand Green,26319,#A0BCAC
379,Sand Blue,10705,#6074A1
383,Chrome Silver,1336,#E0E0E0
450,Fabuland Brown,56,#B67B50
462,Medium Orange,491,#FFA70B
484,Dark Orange,28514,#A95500
503,Very Light Gray,261,#E6E3DA
1000,Glow in Dark White,667,#D9D9D9
1001,Medium Violet,13,#93910000
1002,Glitter Trans-Neon Green,9,#C0F500
1003,Glitter Trans-Light Blue,91,#68BCC5
1004,Trans-Flame Yellowish Orange,214,#FCB76D
1005,Trans-Fire Yellow,41,#FBE890
1006,Trans-Light Royal Blue,90,#B4D4F7
1007,Reddish Lilac,50,#8E5597
1008,Vintage Blue,24,#039CBD
1009,Vintage Green,32,#1E601E
1010,Vintage Red,31,#CA1F08
1011,Vintage Yellow,24,#F3C305
1012,Fabuland Orange,5,#EF9121
1013,Modulex White,2998,#F4F4F4
1014,Modulex Light Bluish Gray,10,#AfB5C7
1015,Modulex Light Gray,2249,#9C9C9C
1016,Modulex Charcoal Gray,2,#595D60
1017,Modulex Tile Gray,219,#6B5A5A
1018,Modulex Black,2499,#4D4C52
1019,Modulex Tile Brown,158,#330000
1020,Modulex Terracotta,1622,#5C5030
1021,Modulex Brown,2223,#907450
1022,Modulex Buff,1626,#DEC69C
1023,Modulex Red,26,#B52C20
1024,Modulex Pink Red,7,#F45C40
1025,Modulex Orange,126,#F47B30
1026,Modulex Light Orange,7,#F7AD63
1027,Modulex Light Yellow,8,#FFE371
1028,Modulex Ochre Yellow,1107,#FED557
1029,Modulex Lemon,23,#BDC618
1030,Modulex Pastel Green,35,#7DB538
1031,Modulex Olive Green,1111,#7C9051
1032,Modulex Aqua Green,16,#27867E
1033,Modulex Teal Blue,1104,#467083
1034,Modulex Tile Blue,80,#0057A6
1035,Modulex Medium Blue,8,#61AFFF
1036,Modulex Pastel Blue,19,#68AECE
1037,Modulex Violet,7,#BD7D85
1038,Modulex Pink,20,#F785B1
1039,Modulex Clear,1394,#FFFFFF
1040,Modulex Foil Dark Gray,1,#595D60
1041,Modulex Foil Light Gray,1,#9C9C9C
1042,Modulex Foil Dark Green,1,#6400
1043,Modulex Foil Light Green,1,#7DB538
1044,Modulex Foil Dark Blue,1,#0057A6
1045,Modulex Foil Light Blue,1,#68AECE
1046,Modulex Foil Violet,1,#4B0082
1047,Modulex Foil Red,1,#8B0000
1048,Modulex Foil Yellow,1,#FED557
1049,Modulex Foil Orange,1,#F7AD63
1050,Coral,7895,#FF698F
1051,Pastel Blue,734,#5AC4DA
1052,Glitter Trans-Orange,1,#F08F1C
1053,Opal Trans-Light Blue,1017,#68BCC5
1054,Opal Trans-Dark Pink,255,#CE1D9B
1055,Opal Trans-Clear,997,#FCFCFC
1056,Opal Trans-Brown,140,#583927
1057,Trans-Light Bright Green,119,#C9E788
1058,Trans-Light Green,42,#94E5AB
1059,Opal Trans-Purple,321,#8320B7
1060,Opal Trans-Bright Green,182,#84B68D
1061,Opal Trans-Dark Blue,216,#0020A0
1062,Vibrant Yellow,2265,#EBD800
1063,Pearl Copper,72,#B46A00
1064,Fabuland Red,23,#FF8014
1065,Reddish Gold,79,#AC8247
1066,Curry,10,#DD982E
1067,Dark Nougat,10,#AD6140
1068,Bright Reddish Orange,16,#EE5434
1069,Pearl Red,24,#D60026
1070,Pearl Blue,21,#0059A3
1071,Pearl Green,21,#008E3C
1072,Pearl Brown,35,#57392C
1073,Pearl Black,35,#0A1327
1074,Duplo Blue,6,#009ECE
1075,Duplo Medium Blue,1,#3E95B6
1076,Duplo Lime,5,#FFF230
1077,Fabuland Lime,16,#78FC78
1078,Duplo Medium Green,1,#468A5F
1079,Duplo Light Green,1,#60BA76
1080,Light Tan,1,#F3C988
1081,Rust Orange,3,#872B17
1082,Clikits Pink,32,#FE78B0
1083,Two-tone Copper,2,#945148
1084,Two-tone Gold,6,#AB673A
1085,Two-tone Silver,6,#737271
1086,Pearl Lime,41,#6A7944
1087,Duplo Pink,47,#FF879C
1088,Medium Brown,229,#755945
